iter	RMSE
0	11561.53128
1	11232.35099
2	10920.4796
3	10628.27362
4	10323.85091
5	10038.55645
6	9778.91956
7	9525.046774
8	9277.770011
9	9056.863084
10	8845.706072
11	8640.562005
12	8459.88258
13	8263.242825
14	8086.183025
15	7911.610626
16	7727.219041
17	7560.856097
18	7388.208844
19	7238.739263
20	7093.261091
21	6950.991092
22	6851.43286
23	6736.299591
24	6620.411922
25	6499.880719
26	6393.483828
27	6292.05052
28	6201.381106
29	6101.663714
30	6014.484852
31	5937.115449
32	5862.635101
33	5788.00273
34	5722.27413
35	5651.166624
36	5591.156923
37	5534.659298
38	5483.051103
39	5439.557543
40	5393.967178
41	5344.262925
42	5294.410298
43	5252.537383
44	5207.680182
45	5166.101194
46	5126.178558
47	5088.849526
48	5049.669396
49	5015.898745
50	4984.557564
51	4966.717703
52	4933.023507
53	4905.918545
54	4880.88101
55	4853.04408
56	4830.462525
57	4806.149701
58	4785.902876
59	4761.529639
60	4743.748676
61	4730.42713
62	4711.586712
63	4692.864755
64	4677.729645
65	4661.834513
66	4649.877927
67	4633.97154
68	4616.618532
69	4601.440442
70	4592.865398
71	4577.372834
72	4564.718996
73	4552.921223
74	4541.915286
75	4527.984137
76	4515.992559
77	4506.55267
78	4502.432511
79	4493.038371
80	4483.233737
81	4474.779058
82	4471.744005
83	4461.975979
84	4456.782071
85	4450.870558
86	4449.095774
87	4443.415211
88	4435.7399
89	4429.792486
90	4423.934113
91	4416.491027
92	4409.041327
93	4406.359143
94	4404.870748
95	4397.013435
96	4388.228912
97	4379.177792
98	4373.115003
99	4367.458312
100	4364.14201
101	4359.514608
102	4350.92784
103	4347.107798
104	4345.130365
105	4335.407574
106	4328.135687
107	4323.445946
108	4316.239406
109	4309.741593
110	4304.808146
111	4299.915837
112	4296.423996
113	4287.40312
114	4284.835453
115	4281.19263
116	4277.049063
117	4272.636619
118	4269.036273
119	4263.986758
120	4258.941549
121	4252.670982
122	4250.77228
123	4248.162667
124	4247.818933
125	4243.86243
126	4239.437616
127	4235.216223
128	4230.995121
129	4225.504491
130	4222.234997
131	4215.887639
132	4211.617842
133	4208.165149
134	4202.733965
135	4197.349425
136	4193.956602
137	4192.748821
138	4186.801887
139	4180.930016
140	4176.169906
141	4170.42946
142	4168.548584
143	4166.371089
144	4163.672799
145	4158.998278
146	4155.516443
147	4152.96479
148	4151.080186
149	4147.7463
150	4145.250726
151	4141.696898
152	4136.98924
153	4132.208384
154	4129.963626
155	4127.492639
156	4125.587097
157	4121.538713
158	4115.419803
159	4109.977987
160	4106.393735
161	4104.679072
162	4102.625901
163	4097.689183
164	4095.052628
165	4092.170428
166	4090.619249
167	4088.72852
168	4083.763019
169	4080.655048
170	4077.069632
171	4073.264246
172	4070.477224
173	4066.556467
174	4059.44345
175	4052.57399
176	4048.149592
177	4044.643275
178	4042.553868
179	4036.955827
180	4031.36563
181	4029.456653
182	4028.206503
183	4024.474174
184	4022.995553
185	4019.979754
186	4016.998909
187	4013.074354
188	4008.711849
189	4004.622413
190	4002.893774
191	4000.349857
192	3998.016563
193	3996.281258
194	3992.223753
195	3988.601426
196	3985.085836
197	3981.986364
198	3979.410637
199	3976.45298
200	3973.713356
201	3973.064349
202	3970.404616
203	3966.528609
204	3965.191165
205	3958.897905
206	3957.722939
207	3957.208147
208	3955.26745
209	3952.349575
210	3948.738928
211	3946.006844
212	3942.942238
213	3941.039183
214	3939.77786
215	3938.12471
216	3935.713732
217	3933.64144
218	3931.370448
219	3927.530831
220	3926.036736
221	3925.555229
222	3924.444643
223	3921.442122
224	3918.093994
225	3916.916405
226	3915.411952
227	3911.937029
228	3911.11537
229	3909.169271
230	3906.380042
231	3905.555292
232	3903.829883
233	3900.235566
234	3899.609847
235	3898.189692
236	3897.189035
237	3895.916604
238	3892.536371
239	3889.25851
240	3886.130935
241	3884.928048
242	3879.540077
