iter	Passed	Remaining
0	48	48442
1	49	24572
2	49	16494
3	50	12505
4	50	10115
5	51	8526
6	52	7387
7	52	6533
8	53	5856
9	53	5325
10	54	4859
11	54	4505
12	55	4205
13	55	3920
14	56	3692
15	56	3494
16	57	3323
17	58	3170
18	58	3034
19	59	2913
20	60	2802
21	60	2701
22	60	2590
23	61	2506
24	62	2432
25	63	2363
26	63	2297
27	65	2281
28	66	2225
29	67	2173
30	67	2118
31	68	2072
32	69	2033
33	70	1992
34	70	1952
35	71	1914
36	71	1869
37	72	1828
38	72	1787
39	73	1759
40	73	1722
41	74	1696
42	75	1671
43	75	1644
44	76	1620
45	77	1599
46	79	1604
47	80	1592
48	81	1572
49	81	1547
50	82	1532
51	82	1506
52	84	1511
53	85	1494
54	87	1501
55	88	1486
56	88	1467
57	89	1452
58	90	1438
59	90	1424
60	91	1415
61	92	1400
62	93	1391
63	94	1380
64	95	1368
65	96	1358
66	96	1346
67	97	1334
68	98	1322
69	98	1312
70	99	1298
71	99	1288
72	100	1277
73	101	1269
74	102	1260
75	102	1251
76	103	1242
77	104	1233
78	104	1222
79	105	1214
80	106	1206
81	106	1197
82	107	1184
83	107	1175
84	108	1164
85	108	1157
86	109	1145
87	109	1138
88	110	1131
89	111	1124
90	111	1118
91	112	1112
92	113	1105
93	113	1094
94	113	1083
95	114	1075
96	114	1069
97	115	1062
98	116	1057
99	116	1051
100	117	1042
101	117	1034
102	118	1029
103	118	1023
104	119	1015
105	119	1010
106	120	1004
107	120	999
108	121	994
109	122	988
110	122	982
111	123	976
112	123	971
113	124	966
114	124	961
115	125	957
116	126	951
117	126	947
118	127	943
119	128	938
120	128	934
121	129	930
122	130	927
123	130	923
124	130	915
125	131	911
126	131	906
127	132	903
128	133	899
129	133	895
130	134	891
131	134	887
132	135	883
133	136	880
134	137	877
135	137	874
136	138	872
137	139	868
138	139	865
139	140	862
140	141	860
141	141	857
142	142	855
143	143	852
144	144	850
145	145	848
146	146	849
147	147	848
148	148	846
149	148	843
150	149	841
151	150	839
152	151	837
153	152	835
154	152	833
155	153	831
156	154	829
157	155	826
158	155	824
159	156	822
160	157	819
161	158	817
162	158	815
163	159	813
164	160	810
165	161	809
166	161	807
167	162	805
168	165	812
169	165	810
170	166	807
171	167	806
172	168	803
173	168	802
174	169	799
175	170	798
176	171	796
177	172	794
178	172	792
179	173	790
180	174	787
181	174	784
182	175	782
183	175	780
184	176	778
185	177	776
186	178	775
187	179	773
188	179	771
189	181	771
190	183	775
191	184	777
192	185	775
193	186	773
194	186	771
195	187	768
196	188	766
197	188	764
198	189	761
199	189	759
200	190	756
201	190	753
202	191	750
203	191	748
204	192	745
205	193	744
206	193	741
207	194	739
208	194	737
209	195	735
210	196	733
211	196	730
212	197	729
213	198	727
214	198	725
215	199	723
216	200	722
217	200	720
218	201	719
219	202	716
220	202	714
221	203	712
222	204	710
223	204	709
224	205	708
225	206	706
226	207	704
227	207	703
228	208	701
229	209	700
230	209	698
231	210	697
232	211	696
233	212	696
234	213	694
235	214	693
236	215	692
237	215	690
238	216	689
239	217	687
240	217	685
241	218	684
242	219	682
243	219	680
244	220	679
245	220	677
246	221	675
247	222	674
248	223	672
249	223	671
250	224	670
251	225	669
252	226	667
253	226	666
254	227	664
255	228	663
256	229	662
257	229	660
258	230	659
259	231	657
260	231	656
261	232	654
262	233	653
263	234	652
264	234	650
265	235	649
266	236	648
267	236	647
268	237	645
269	238	644
270	239	643
271	240	642
272	240	641
273	241	640
274	242	639
275	243	637
276	243	636
277	244	635
278	245	634
279	246	632
280	246	631
281	247	630
282	248	629
283	249	627
284	249	626
285	250	624
286	251	623
287	251	622
288	252	621
289	253	619
290	253	618
291	254	617
292	255	616
293	256	614
294	256	613
295	257	612
296	258	611
297	258	610
298	259	608
299	260	607
300	261	606
301	262	605
302	262	604
303	263	603
304	264	602
305	264	600
306	265	599
307	266	598
308	267	597
309	268	596
310	268	595
311	269	594
312	270	593
313	271	592
314	271	590
315	272	589
316	273	588
317	273	587
318	274	585
319	275	584
320	275	583
321	276	582
322	277	581
323	278	580
324	278	579
325	279	578
326	280	577
327	281	575
328	281	574
329	282	573
330	283	572
331	284	571
332	284	570
333	285	569
334	286	568
335	287	567
336	287	566
337	288	565
338	289	564
339	290	562
340	290	561
341	291	560
342	292	559
343	292	558
344	293	557
345	294	556
346	295	555
347	296	554
348	296	553
349	297	552
350	298	551
351	299	550
352	299	549
353	300	548
354	301	547
355	302	546
356	302	545
357	303	544
358	304	543
359	305	542
360	305	541
361	306	540
362	307	539
363	308	538
364	308	537
365	309	536
366	310	535
367	311	534
368	311	533
369	312	532
370	313	531
371	314	530
372	314	528
373	315	528
374	316	527
375	316	526
376	317	525
377	318	524
378	319	523
379	320	522
380	320	521
381	321	520
382	322	519
383	323	518
384	323	517
385	324	516
386	325	515
387	325	514
388	326	513
389	327	512
390	328	511
391	328	510
392	329	509
393	330	508
394	331	507
395	331	506
396	332	505
397	333	504
398	334	503
399	335	502
400	335	501
401	336	500
402	337	499
403	337	498
404	338	497
405	339	496
406	340	495
407	341	494
408	341	493
409	342	492
410	343	491
411	343	490
412	344	489
413	345	488
414	346	487
415	346	487
416	347	486
417	348	485
418	349	484
419	349	483
420	350	482
421	351	481
422	352	480
423	352	479
424	353	478
425	354	477
426	355	476
427	355	475
428	356	474
429	357	473
430	358	472
431	358	471
432	359	470
433	360	469
434	360	468
435	361	467
436	362	466
437	363	465
438	363	464
439	364	463
440	365	462
441	366	462
442	366	461
443	367	460
444	368	459
445	369	459
446	371	459
447	372	458
448	372	457
449	373	456
450	374	455
451	375	455
452	376	454
453	377	453
454	378	453
455	379	452
456	380	452
457	382	452
458	383	451
459	384	451
460	385	451
461	386	450
462	387	449
463	387	448
464	388	447
465	389	446
466	390	445
467	390	444
468	391	443
469	392	442
470	393	441
471	393	440
472	394	439
473	395	438
474	395	437
475	396	436
476	397	435
477	399	435
478	401	436
479	401	435
480	402	434
481	403	433
482	404	432
483	404	431
484	405	430
485	406	430
486	408	430
487	409	429
488	410	429
489	412	429
490	413	428
491	414	428
492	416	427
493	417	427
494	418	426
495	419	426
496	420	425
497	421	425
498	422	424
499	424	424
500	425	423
501	426	422
502	427	422
503	428	421
504	429	421
505	431	420
506	433	421
507	433	420
508	434	419
509	435	418
510	436	417
511	437	416
512	438	415
513	438	414
514	439	413
515	440	412
516	441	412
517	442	411
518	442	410
519	443	409
520	444	408
521	445	407
522	446	406
523	447	406
524	447	405
525	448	404
526	449	403
527	450	402
528	450	401
529	451	400
530	452	399
531	453	398
532	454	397
533	454	396
534	455	396
535	456	395
536	457	394
537	459	394
538	459	393
539	460	392
540	461	391
541	462	390
542	463	389
543	463	388
544	464	387
545	465	386
546	466	386
547	466	385
548	467	384
549	468	383
550	469	382
551	470	381
552	470	380
553	471	379
554	472	378
555	473	377
556	474	377
557	475	376
558	476	375
559	476	374
560	477	373
561	478	372
562	479	371
563	479	371
564	480	370
565	481	369
566	482	368
567	483	367
568	484	366
569	484	365
570	485	365
571	486	364
572	487	363
573	488	362
574	489	361
575	489	360
576	490	359
577	491	358
578	492	357
579	493	357
580	493	356
581	494	355
582	495	354
583	496	353
584	497	352
585	498	352
586	499	351
587	499	350
588	500	349
589	501	348
590	502	347
591	503	346
592	503	345
593	504	344
594	505	344
595	506	343
596	506	342
597	507	341
598	508	340
599	509	339
600	510	338
601	510	337
602	511	336
603	512	336
604	513	335
605	514	334
606	515	333
607	516	332
608	516	331
609	517	331
610	518	330
611	519	329
612	520	328
613	521	327
614	521	326
615	522	325
616	523	325
617	524	324
618	524	323
619	525	322
620	526	321
621	527	320
622	528	319
623	528	318
624	529	317
625	530	316
626	530	315
627	531	315
628	532	314
629	533	313
630	534	312
631	534	311
632	535	310
633	536	309
634	537	308
635	537	307
636	538	306
637	539	306
638	540	305
639	541	304
640	542	303
641	542	302
642	543	301
643	544	301
644	545	300
645	546	299
646	547	298
647	547	297
648	549	296
649	549	296
650	550	295
651	551	294
652	552	293
653	552	292
654	554	292
655	555	291
656	556	290
657	557	289
658	557	288
659	558	287
660	559	286
661	560	286
662	561	285
663	562	284
664	563	283
665	565	283
666	566	282
667	567	282
668	568	281
669	570	280
670	571	280
671	572	279
672	573	278
673	574	278
674	575	277
675	577	276
676	578	275
677	579	275
678	580	274
679	581	273
680	582	272
681	583	272
682	585	271
683	586	270
684	587	270
685	588	269
686	589	268
687	590	267
688	591	267
689	593	266
690	594	265
691	596	265
692	597	264
693	598	263
694	599	263
695	601	262
696	602	261
697	603	260
698	603	260
699	604	259
700	605	258
701	606	257
702	606	256
703	607	255
704	608	254
705	609	253
706	610	252
707	611	252
708	611	251
709	612	250
710	613	249
711	614	248
712	615	247
713	615	246
714	616	245
715	617	244
716	618	244
717	619	243
718	619	242
719	620	241
720	621	240
721	622	239
722	622	238
723	623	237
724	624	236
725	625	236
726	626	235
727	626	234
728	627	233
729	628	232
730	629	231
731	629	230
732	630	229
733	631	228
734	632	228
735	633	227
736	633	226
737	635	225
738	635	224
739	636	223
740	637	222
741	638	221
742	638	221
743	639	220
744	640	219
745	641	218
746	641	217
747	642	216
748	643	215
749	644	214
750	644	213
751	645	212
752	646	212
753	647	211
754	648	210
755	648	209
756	649	208
757	650	207
758	650	206
759	651	205
760	652	204
761	653	204
762	654	203
763	654	202
764	655	201
765	656	200
766	657	199
767	657	198
768	658	197
769	659	197
770	660	196
771	661	195
772	662	194
773	662	193
774	663	192
775	664	191
776	665	190
777	666	190
778	667	189
779	667	188
780	668	187
781	669	186
782	670	185
783	670	184
784	671	183
785	672	183
786	673	182
787	673	181
788	674	180
789	675	179
790	676	178
791	676	177
792	677	176
793	678	176
794	679	175
795	680	174
796	681	173
797	682	172
798	683	171
799	683	170
800	685	170
801	687	169
802	689	169
803	690	168
804	691	167
805	692	166
806	693	165
807	693	164
808	694	163
809	695	163
810	697	162
811	698	161
812	699	160
813	700	160
814	701	159
815	702	158
816	704	157
817	705	156
818	706	156
819	707	155
820	708	154
821	710	153
822	711	152
823	712	152
824	713	151
825	714	150
826	715	149
827	716	148
828	717	148
829	718	147
830	720	146
831	721	145
832	722	144
833	723	144
834	724	143
835	725	142
836	727	141
837	728	140
838	729	139
839	730	139
840	731	138
841	732	137
842	733	136
843	735	135
844	736	135
845	736	134
846	739	133
847	739	132
848	740	131
849	742	130
850	742	130
851	744	129
852	744	128
853	745	127
854	746	126
855	747	125
856	748	124
857	749	124
858	750	123
859	751	122
860	752	121
861	753	120
862	755	119
863	756	119
864	757	118
865	758	117
866	759	116
867	761	115
868	762	114
869	763	114
870	764	113
871	765	112
872	766	111
873	767	110
874	769	109
875	770	109
876	771	108
877	772	107
878	773	106
879	775	105
880	776	104
881	777	104
882	778	103
883	780	102
884	781	101
885	782	100
886	783	99
887	784	98
888	785	98
889	786	97
890	788	96
891	789	95
892	790	94
893	791	93
894	792	93
895	794	92
896	795	91
897	796	90
898	798	89
899	799	88
900	800	87
901	801	87
902	803	86
903	804	85
904	805	84
905	806	83
906	807	82
907	808	81
908	809	81
909	810	80
910	811	79
911	813	78
912	814	77
913	815	76
914	816	75
915	816	74
916	817	74
917	818	73
918	819	72
919	819	71
920	820	70
921	821	69
922	821	68
923	822	67
924	823	66
925	824	65
926	824	64
927	825	64
928	826	63
929	827	62
930	827	61
931	828	60
932	829	59
933	830	58
934	831	57
935	833	56
936	835	56
937	837	55
938	839	54
939	840	53
940	842	52
941	843	51
942	844	51
943	845	50
944	846	49
945	847	48
946	849	47
